Time [sec],Frequency [Hz],Voltage 1 [V],Current 1 [A],Power factor [-],True power [W]
2024-02-07 16:51:39.318768,59.9900016784668,119.2415771484375,2.356043577194214,0.6853219270706177,192.53623962402344
2024-02-07 16:51:39.962183,59.9900016784668,119.23149108886719,2.3561348915100098,0.685369610786438,192.55958557128906
2024-02-07 16:51:40.565505,59.9900016784668,119.23149108886719,2.3561348915100098,0.685369610786438,192.55958557128906
2024-02-07 16:51:41.181556,59.9900016784668,119.22804260253906,2.356121063232422,0.6853795051574707,192.53004455566406
2024-02-07 16:51:42.004093,59.9900016784668,119.2452163696289,2.3562490940093994,0.685058057308197,192.5123291015625
2024-02-07 16:51:42.710311,59.9900016784668,119.23226165771484,2.356234312057495,0.6851701140403748,192.4867401123047
2024-02-07 16:51:43.444114,59.9900016784668,119.23226165771484,2.356234312057495,0.6851701140403748,192.4867401123047
2024-02-07 16:51:44.060456,59.9900016784668,119.2425765991211,2.3564021587371826,0.6851876974105835,192.56712341308594
2024-02-07 16:51:44.654892,59.9900016784668,119.2425765991211,2.3564021587371826,0.6851876974105835,192.5730743408203
2024-02-07 16:51:45.370000,59.9900016784668,119.25279235839844,2.3565657138824463,0.6851058006286621,192.5730743408203
2024-02-07 16:51:45.978371,59.970001220703125,119.2386245727539,2.356497287750244,0.6848344206809998,192.41116333007812
2024-02-07 16:51:46.578383,59.970001220703125,119.2386245727539,2.356497287750244,0.6848344206809998,192.41116333007812
2024-02-07 16:51:47.234721,59.970001220703125,119.17337799072266,2.35589599609375,0.6849653720855713,192.1634063720703
2024-02-07 16:51:47.842599,59.970001220703125,119.2315902709961,2.355998992919922,0.6849005818367004,192.42018127441406
2024-02-07 16:51:48.463769,59.970001220703125,119.2315902709961,2.355998992919922,0.6849005818367004,192.42018127441406
2024-02-07 16:51:49.074919,59.970001220703125,119.23085021972656,2.3560378551483154,0.6847261786460876,192.35696411132812
2024-02-07 16:51:49.686694,59.970001220703125,119.23085021972656,2.3560378551483154,0.6844477653503418,192.3514404296875
2024-02-07 16:51:50.380350,59.970001220703125,119.24226379394531,2.356233835220337,0.6844477653503418,192.3514404296875
2024-02-07 16:51:51.113527,59.970001220703125,119.21980285644531,2.356093168258667,0.6846319437026978,192.2734375
2024-02-07 16:51:51.713293,59.970001220703125,119.21980285644531,2.3557958602905273,0.6848633289337158,192.2392578125
2024-02-07 16:51:52.420664,59.970001220703125,119.19720458984375,2.3557958602905273,0.6848633289337158,192.2392578125
2024-02-07 16:51:53.042970,59.970001220703125,119.20994567871094,2.355743885040283,0.6848629117012024,192.31564331054688
2024-02-07 16:51:53.670321,59.970001220703125,119.20994567871094,2.355743885040283,0.6847208142280579,192.41128540039062
2024-02-07 16:51:54.374939,59.970001220703125,119.23516845703125,2.355996608734131,0.6847208142280579,192.41128540039062
2024-02-07 16:51:54.980386,59.970001220703125,119.24810791015625,2.3562941551208496,0.6845880150794983,192.43002319335938
2024-02-07 16:51:55.635614,59.970001220703125,119.24810791015625,2.3562941551208496,0.6845880150794983,192.43002319335938
2024-02-07 16:51:56.264559,59.970001220703125,119.22689056396484,2.356372833251953,0.6846759915351868,192.37342834472656
2024-02-07 16:51:56.964013,59.970001220703125,119.23756408691406,2.3565239906311035,0.6846385598182678,192.41046142578125
2024-02-07 16:51:57.600064,59.970001220703125,119.23756408691406,2.3565239906311035,0.6846385598182678,192.41046142578125
2024-02-07 16:51:58.269879,59.970001220703125,119.21712493896484,2.3563835620880127,0.684643566608429,192.2959747314453
2024-02-07 16:51:58.975064,59.970001220703125,119.22242736816406,2.356295108795166,0.6845898032188416,192.29531860351562
2024-02-07 16:51:59.594229,59.970001220703125,119.22242736816406,2.356295108795166,0.6845898032188416,192.29531860351562
2024-02-07 16:52:00.244772,59.970001220703125,119.24078369140625,2.3564634323120117,0.6847233772277832,192.4385223388672
2024-02-07 16:52:01.091407,59.970001220703125,119.25938415527344,2.356769561767578,0.6845768094062805,192.48666381835938
2024-02-07 16:52:01.706454,59.970001220703125,119.25938415527344,2.3569369316101074,0.6844120621681213,192.425537109375
2024-02-07 16:52:02.395098,59.970001220703125,119.2630615234375,2.3569369316101074,0.6844120621681213,192.425537109375
2024-02-07 16:52:03.019487,59.970001220703125,119.248291015625,2.356959581375122,0.6843818426132202,192.35977172851562
2024-02-07 16:52:03.634666,59.970001220703125,119.248291015625,2.356959581375122,0.6843818426132202,192.35977172851562
2024-02-07 16:52:04.257867,59.970001220703125,119.25743103027344,2.357121467590332,0.6843875050544739,192.42343139648438
2024-02-07 16:52:04.990761,59.970001220703125,119.2320785522461,2.3569698333740234,0.6844045519828796,192.2980499267578
2024-02-07 16:52:05.802804,59.970001220703125,119.26799011230469,2.3571414947509766,0.6843979954719543,192.447021484375
2024-02-07 16:52:06.428115,59.970001220703125,119.26799011230469,2.3571414947509766,0.6843979954719543,192.447021484375
2024-02-07 16:52:07.186259,59.970001220703125,119.22979736328125,2.3568577766418457,0.6844846606254578,192.27566528320312
2024-02-07 16:52:07.841937,59.970001220703125,119.2511215209961,2.3569233417510986,0.6844796538352966,192.39956665039062
2024-02-07 16:52:08.528985,59.970001220703125,119.2511215209961,2.3569233417510986,0.6844796538352966,192.39956665039062
2024-02-07 16:52:09.151870,59.970001220703125,119.13020324707031,2.3557753562927246,0.6851506233215332,192.0015869140625
2024-02-07 16:52:09.760365,59.970001220703125,119.17034912109375,2.3554751873016357,0.6855276823043823,192.35610961914062
2024-02-07 16:52:10.432249,59.970001220703125,119.17034912109375,2.3554751873016357,0.6855276823043823,192.35610961914062
